1.330  -0.3973043 -0.3126221 0.4589182
1.340  -0.3987402 -0.3178570 0.4587388
1.350  -0.4001218 -0.3231269 0.4585608
1.360  -0.4014488 -0.3284314 0.4583844
1.370  -0.4027208 -0.3337701 0.4582098
1.380  -0.4039375 -0.3391425 0.4580371
1.390  -0.4050985 -0.3445482 0.4578665
1.400  -0.4062037 -0.3499869 0.4576982
1.410  -0.4072527 -0.3554581 0.4575323
1.420  -0.4082451 -0.3609613 0.4573690
1.430  -0.4091807 -0.3664961 0.4572085
1.440  -0.4100593 -0.3720620 0.4570508
1.450  -0.4108804 -0.3776587 0.4568961
1.460  -0.4116439 -0.3832857 0.4567446
1.470  -0.4123495 -0.3889424 0.4565963
1.480  -0.4129969 -0.3946285 0.4564513
1.490  -0.4135859 -0.4003434 0.4563099
1.500  -0.4141162 -0.4060868 0.4561721
1.510  -0.4145875 -0.4118580 0.4560380
1.520  -0.4149997 -0.4176567 0.4559078
1.530  -0.4153524 -0.4234824 0.4557814
1.540  -0.4156456 -0.4293346 0.4556591
1.550  -0.4158789 -0.4352127 0.4555409
1.560  -0.4160521 -0.4411163 0.4554268
1.570  -0.4161650 -0.4470448 0.4553171
1.580  -0.4162174 -0.4529979 0.4552118
1.590  -0.4162092 -0.4589749 0.4551109
1.600  -0.4161401 -0.4649753 0.4550145
1.610  -0.4160099 -0.4709987 0.4549227
1.620  -0.4158185 -0.4770445 0.4548356
1.630  -0.4155657 -0.4831122 0.4547533
1.640  -0.4152513 -0.4892012 0.4546758
1.650  -0.4148751 -0.4953111 0.4546032
1.660  -0.4144371 -0.5014412 0.4545355
1.670  -0.4139370 -0.5075911 0.4544728
1.680  -0.4133747 -0.5137602 0.4544152
1.690  -0.4127500 -0.5199479 0.4543628
1.700  -0.4120629 -0.5261538 0.4543155
1.710  -0.4113132 -0.5323772 0.4542734
1.720  -0.4105008 -0.5386176 0.4542366
1.730  -0.4096256 -0.5448744 0.4542052
1.740  -0.4086874 -0.5511471 0.4541792
1.750  -0.4076862 -0.5574351 0.4541585
1.760  -0.4066218 -0.5637378 0.4541434
1.770  -0.4054943 -0.5700547 0.4541338
1.780  -0.4043034 -0.5763852 0.4541297
1.790  -0.4030491 -0.5827286 0.4541313
1.800  -0.4017314 -0.5890845 0.4541385
1.810  -0.4003502 -0.5954521 0.4541514
1.820  -0.3989054 -0.6018311 0.4541700
1.830  -0.3973970 -0.6082206 0.4541944
1.840  -0.3958248 -0.6146202 0.4542246
1.850  -0.3941890 -0.6210293 0.4542606
1.860  -0.3924895 -0.6274472 0.4543024
1.870  -0.3907261 -0.6338734 0.4543502
1.880  -0.3888990 -0.6403072 0.4544039
1.890  -0.3870081 -0.6467480 0.4544636
1.900  -0.3850533 -0.6531952 0.4545292
1.910  -0.3830347 -0.6596483 0.4546009
1.920  -0.3809524 -0.6661065 0.4546786
1.930  -0.3788062 -0.6725693 0.4547624
1.940  -0.3765962 -0.6790361 0.4548523
1.950  -0.3743225 -0.6855062 0.4549483
1.960  -0.3719851 -0.6919790 0.4550505
1.970  -0.3695840 -0.6984538 0.4551588
1.980  -0.3671192 -0.7049301 0.4552734
1.990  -0.3645908 -0.7114072 0.4553942
2.000  -0.3619990 -0.7178845 0.4555212
2.010  -0.3593436 -0.7243614 0.4556545
2.020  -0.3566248 -0.7308371 0.4557941
2.030  -0.3538428 -0.7373111 0.4559400
2.040  -0.3509974 -0.7437827 0.4560923
2.050  -0.3480890 -0.7502514 0.4562509
2.060  -0.3451175 -0.7567163 0.4564159
2.070  -0.3420830 -0.7631770 0.4565873
2.080  -0.3389857 -0.7696326 0.4567651
2.090  -0.3358257 -0.7760827 0.4569494
2.100  -0.3326031 -0.7825266 0.4571401
2.110  -0.3293180 -0.7889635 0.4573372
2.120  -0.3259706 -0.7953929 0.4575409
2.130  -0.3225610 -0.8018140 0.4577511
2.140  -0.3190894 -0.8082263 0.4579678
2.150  -0.3155559 -0.8146291 0.4581910
2.160  -0.3119607 -0.8210216 0.4584208
2.170  -0.3083040 -0.8274034 0.4586572
2.180  -0.3045858 -0.8337736 0.4589001
2.190  -0.3008065 -0.8401317 0.4591497
2.200  -0.2969663 -0.8464770 0.4594058
2.210  -0.2930652 -0.8528088 0.4596687
2.220  -0.2891035 -0.8591264 0.4599381
2.230  -0.2850815 -0.8654293 0.4602142
2.240  -0.2809993 -0.8717167 0.4604970
2.250  -0.2768572 -0.8779879 0.4607865
2.260  -0.2726554 -0.8842424 0.4610826
2.270  -0.2683941 -0.8904794 0.4613855
2.280  -0.2640736 -0.8966982 0.4616951
2.290  -0.2596941 -0.9028983 0.4620115
2.300  -0.2552559 -0.9090790 0.4623346
2.310  -0.2507593 -0.9152395 0.4626645
2.320  -0.2462045 -0.9213792 0.4630011
2.330  -0.2415918 -0.9274975 0.4633445
2.340  -0.2369215 -0.9335937 0.4636947
2.350  -0.2321939 -0.9396672 0.4640518
2.360  -0.2274093 -0.9457171 0.4644156
2.370  -0.2225680 -0.9517430 0.4647863
2.380  -0.2176703 -0.9577442 0.4651638
2.390  -0.2127165 -0.9637199 0.4655481
2.400  -0.2077070 -0.9696695 0.4659393
2.410  -0.2026420 -0.9755923 0.4663374
2.420  -0.1975220 -0.9814878 0.4667423
2.430  -0.1923472 -0.9873552 0.4671542
2.440  -0.1871181 -0.9931939 0.4675729
2.450  -0.1818349 -0.9990032 0.4679985
2.460  -0.1764981 -1.0047824 0.4684310
2.470  -0.1711080 -1.0105310 0.4688705
2.480  -0.1656650 -1.0162482 0.4693169
2.490  -0.1601695 -1.0219334 0.4697702
2.500  -0.1546219 -1.0275860 0.4702304
2.510  -0.1490225 -1.0332052 0.4706976
2.520  -0.1433719 -1.0387905 0.4711717
2.530  -0.1376703 -1.0443412 0.4716528
2.540  -0.1319183 -1.0498567 0.4721408
2.550  -0.1261161 -1.0553362 0.4726358
2.560  -0.1202644 -1.0607792 0.4731378
2.570  -0.1143635 -1.0661851 0.4736468
2.580  -0.1084138 -1.0715531 0.4741627
2.590  -0.1024158 -1.0768827 0.4746856
2.600  -0.0963700 -1.0821732 0.4752156
2.610  -0.0902768 -1.0874240 0.4757525
2.620  -0.0841367 -1.0926344 0.4762964
2.630  -0.0779502 -1.0978039 0.4768473
2.640  -0.0717177 -1.1029318 0.4774052
2.650  -0.0654398 -1.1080174 0.4779701
2.660  -0.0591170 -1.1130602 0.4785420
2.670  -0.0527496 -1.1180595 0.4791209
2.680  -0.0463384 -1.1230147 0.4797069
2.690  -0.0398837 -1.1279252 0.4802998
2.700  -0.0333860 -1.1327905 0.4808998
2.710  -0.0268460 -1.1376098 0.4815067
2.720  -0.0202641 -1.1423826 0.4821207
2.730  -0.0136410 -1.1471082 0.4827417
2.740  -0.0069770 -1.1517862 0.4833697
2.750  -0.0002728 -1.1564158 0.4840047
2.760  0.0064710 -1.1609965 0.4846466
2.770  0.0132540 -1.1655277 0.4852956
2.780  0.0200755 -1.1700088 0.4859516
